wl,n
8.1301,47.184
8.1967,47.517
8.2645,47.852
8.3333,48.192
8.4034,48.539
8.4746,48.896
8.5470,49.259
8.6207,49.628
8.6957,50.001
8.7719,50.381
8.8496,50.769
8.9286,51.163
9.0090,51.566
9.0909,51.978
9.1743,52.400
9.2593,52.828
9.3458,53.261
9.4340,53.703
9.5238,54.156
9.6154,54.618
9.7087,55.088
9.8039,55.564
9.9010,56.050
10.0000,56.547
10.1010,57.057
10.2041,57.575
10.3093,58.101
10.4167,58.637
10.5263,59.183
10.6383,59.740
10.7527,60.308
10.8696,60.887
10.9890,61.479
11.1111,62.085
11.2360,62.700
11.3636,63.325
11.4943,63.960
11.6279,64.612
11.7647,65.276
11.9048,65.952
12.0482,66.639
12.1951,67.345
12.3457,68.065
12.5000,68.796
12.6582,69.537
12.8205,70.300
12.9870,71.086
13.1579,71.893
13.3333,72.716
13.5135,73.552
13.6986,74.408
13.8889,75.284
14.0845,76.185
14.2857,77.108
14.4928,78.060
14.7059,79.040
14.9254,80.048
15.1515,81.082
15.3846,82.143
15.6250,83.228
15.8730,84.343
16.1290,85.494
16.3934,86.690
16.6667,87.927
16.9492,89.201
17.2414,90.519
17.5439,91.390
17.8571,93.328
18.1818,94.822
18.5185,96.361
18.8679,97.945
19.2308,99.587
19.6078,101.304
20.0000,103.095
20.4082,104.958
20.8333,106.909
21.2766,108.956
21.7391,111.104
22.2222,113.345
22.7273,115.685
23.2558,118.143
23.8095,120.710
24.3902,123.394
25.0000,126.209
25.6410,129.195
26.3158,132.352
27.0270,135.677
27.7778,139.177
28.5714,142.859
29.4118,146.732
30.3030,150.799
31.2500,155.103
32.2581,159.655
33.3333,164.461
34.4828,169.526
35.7143,174.911
37.0370,180.640
38.4615,186.684
40.0000,193.002
41.6667,199.594
43.4783,206.593
45.4545,214.045
47.6190,222.012
50.0000,230.346
52.6316,239.428
55.5556,248.501
